         326723 function calls (325275 primitive calls) in 6.443 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2686    0.000    0.000    0.000    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/builder/__init__.py:205(can_be_empty_element)
     6639    0.000    0.000    0.000    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:1586(__bool__)
     2725    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      322    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     2756    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     2574    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     1909    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     2686    0.000    0.000    0.000    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/builder/__init__.py:453(set_up_substitutions)
     2685    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/_markupbase.py:36(getpos)
       68    0.000    0.000    0.945    0.014 {method 'readline' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
     13/6    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_parser.py:512(_parse)
       43    0.000    0.000    0.183    0.004 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/urllib3/response.py:1173(read_chunked)
     2205    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
     3429    0.000    0.000    0.000    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:2062(descendants)
       11    0.000    0.000    0.000    0.000 {built-in method posix.stat}
     2205    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
     2539    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/parser.py:127(clear_cdata_mode)
        5    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      322    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
    43/13    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
     1821    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       10    0.000    0.000    0.000    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/urllib3/util/url.py:227(_encode_invalid_chars)
        2    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/feedparser.py:469(_parse_headers)
     24/6    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_compiler.py:37(_compile)
