         326732 function calls (325284 primitive calls) in 1.517 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1429    0.001    0.000    0.001    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:648(_linkage_fixer)
      650    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1082(_checkClosed)
      513    0.000    0.000    0.000    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:1543(get)
      459    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      413    0.001    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
      327    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      325    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/socket.py:745(readable)
      323    0.001    0.000    1.200    0.004 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/socket.py:706(readinto)
      323    0.001    0.000    1.198    0.004 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1236(recv_into)
      323    1.195    0.004    1.195    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      323    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      323    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      323    0.001    0.000    1.196    0.004 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1094(read)
      294    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      180    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      170    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_parser.py:168(__getitem__)
      143    0.000    0.000    0.000    0.000 <frozen os>:795(decode)
      140    0.000    0.000    0.000    0.000 <frozen _collections_abc>:868(__iter__)
      140    0.000    0.000    0.000    0.000 <frozen os>:732(__iter__)
  129/127    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      120    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/_markupbase.py:165(parse_comment)
      120    0.000    0.000    0.001    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:241(handle_comment)
       99    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
